,longitude,latitude,arvT,levT,stayTime,distance
264,109.404998,25.223903,4/21/2019 9:13,4/21/2019 15:03,21035,0
265,108.636169,24.500192,4/22/2019 9:22,4/22/2019 9:28,344,0
266,108.650825,24.480098,4/22/2019 9:40,4/22/2019 9:47,416,0
267,108.650817,24.480102,4/22/2019 9:47,4/22/2019 10:59,4357,0
268,109.382667,24.325902,4/22/2019 13:48,4/22/2019 16:21,9161,0
269,109.387443,24.327566,4/22/2019 16:26,4/22/2019 16:38,759,0.444779707
270,109.382637,24.325801,4/22/2019 16:42,4/22/2019 18:35,6759,0
271,109.382225,24.325872,4/23/2019 9:28,4/23/2019 12:26,10675,0
272,109.38224,24.325923,4/23/2019 12:38,4/23/2019 12:49,650,0
273,109.382225,24.325916,4/23/2019 13:04,4/23/2019 15:23,8348,0.222389853
274,109.208595,23.732049,4/23/2019 18:02,4/23/2019 18:48,2775,0
275,109.20877,23.732122,4/24/2019 9:40,4/24/2019 17:25,27861,0
276,109.211074,23.756418,4/24/2019 17:38,4/25/2019 8:59,55274,0
277,109.208679,23.732122,4/25/2019 9:54,4/25/2019 10:10,993,0
278,109.208717,23.73211,4/25/2019 10:10,4/25/2019 19:37,33984,0
279,109.22087,23.735279,4/25/2019 19:43,4/26/2019 9:29,49542,0
280,109.827949,24.501655,4/26/2019 12:39,4/26/2019 12:50,690,0
281,110.303901,25.352039,4/26/2019 16:25,4/26/2019 18:49,8653,0
282,110.317276,25.294532,4/26/2019 19:26,4/26/2019 20:31,3909,0.222389853
283,110.313331,25.318,4/26/2019 20:47,4/27/2019 1:19,16328,0
284,110.303993,25.352216,4/27/2019 17:54,4/27/2019 18:05,688,0
285,110.302711,25.265583,4/27/2019 18:54,4/27/2019 21:07,8010,0
286,110.304176,25.351665,4/27/2019 22:56,4/28/2019 9:35,38393,0
287,110.304077,25.351726,4/28/2019 9:35,4/28/2019 9:48,734,0
288,110.303833,25.318353,4/28/2019 10:12,4/28/2019 13:35,12171,0
289,110.309844,25.373249,4/28/2019 13:52,4/28/2019 15:42,6578,0
290,110.302322,25.355325,4/28/2019 15:48,4/28/2019 16:23,2092,0
291,110.30381,25.31833,4/30/2019 12:06,4/30/2019 15:55,13759,0
292,110.290824,25.286191,4/30/2019 16:52,4/30/2019 17:00,470,0
293,110.266441,25.277235,4/30/2019 18:01,4/30/2019 18:30,1757,0
294,110.312225,25.316247,4/30/2019 19:18,4/30/2019 19:25,415,0
